user_id,gender,age,device_type,os,nrs_grade,date_collected
0002d9ed-170a-4e5a-8a14-11c1e676db36,,21,tablet,,B,
00030986-2813-4f7d-b837-502be86ecbdf,M,,,,C1,2022-07-18
00030986-2813-4f7d-b837-502be86ecbdf,M,49,,,C1,2022-07-18
0003d012-3ebc-4967-8be4-0d486cf7eaf9,,59,,,B,2022-11-14
0003d012-3ebc-4967-8be4-0d486cf7eaf9,,,,,B,2022-10-28
0003d012-3ebc-4967-8be4-0d486cf7eaf9,,31,,,B,2022-11-14
00074973-cd39-41fe-89d8-adf601adabce,M,40,pc,,,2022-07-18
00074973-cd39-41fe-89d8-adf601adabce,M,,pc,,,2022-07-18
00091623-61ec-4e83-bcc3-8a5deb86861b,M,47,,android,,2022-07-18
00091623-61ec-4e83-bcc3-8a5deb86861b,M,34,,android,,2022-07-18
00092ac9-afc8-493b-a55b-7f8f101908a7,,,smartphone,,C1,2022-07-18
00092ac9-afc8-493b-a55b-7f8f101908a7,,,smartphone,,C1,2022-07-18
00125da7-be41-4ae8-8c2f-6ae69b027d72,,,,ios,C2,2022-07-18
00125da7-be41-4ae8-8c2f-6ae69b027d72,,,,ios,C2,2022-07-18
0018d9f1-da67-4f9b-baa7-6b906f747639,F,,smartphone,android,A,2022-07-18
0018d9f1-da67-4f9b-baa7-6b906f747639,F,,smartphone,android,A,2022-07-18
001d8973-e8ef-47c3-88a7-0fb4bd2dc7b9,,39,pc,android,A,2022-11-14
001d8973-e8ef-47c3-88a7-0fb4bd2dc7b9,,,pc,android,A,2022-11-14
001ea816-560d-4251-907b-ccca1ab097ff,M,,smartphone,,,2022-11-14
001ea816-560d-4251-907b-ccca1ab097ff,M,39,smartphone,,,2022-11-14
001f568a-cd7a-4e2e-8f1b-286aed16bd42,,,smartphone,android,C2,2022-04-04
00226de1-20b5-4094-9606-b932a83681b8,M,,tablet,,,2022-11-14
00226de1-20b5-4094-9606-b932a83681b8,M,,tablet,,,2022-11-14
002b1f22-3958-4c33-b464-881936ea444e,,,smartphone,android,C2,2022-07-18
002b1f22-3958-4c33-b464-881936ea444e,,54,smartphone,android,C2,2022-07-18
002ba890-d5a8-46ee-8c3d-2c3f8052ddbd,,20,smartphone,android,C2,2022-04-04
002c4cc8-eb16-478a-a2c7-bfdb9478409a,,,smartphone,,A,2022-07-18
002c4cc8-eb16-478a-a2c7-bfdb9478409a,,27,smartphone,,A,2022-07-18
002cd0b6-2d9b-464a-a26a-65b1ee2fea2b,,49,,android,A,2022-07-18
002cd0b6-2d9b-464a-a26a-65b1ee2fea2b,,42,,android,A,2022-07-18
002cd0b6-2d9b-464a-a26a-65b1ee2fea2b,,22,,android,A,2022-07-18
002cd0b6-2d9b-464a-a26a-65b1ee2fea2b,,,,android,A,2022-07-18
002f1828-1f39-456b-bfcc-fc05d7898b42,,52,pc,,,2022-07-18
002f1828-1f39-456b-bfcc-fc05d7898b42,,,pc,,,2022-07-18
00305669-bd4b-4f2a-89f8-54fedd454321,F,,smartphone,android,E,2022-11-14
00305669-bd4b-4f2a-89f8-54fedd454321,F,48,smartphone,android,E,2022-11-14
003334b5-efab-4c61-a104-bd33825d3cf4,M,20,tablet,android,D,2022-08-30
0036629c-a5db-4878-9e6e-2f68b158b4d1,,,smartphone,,,2022-07-18
0036629c-a5db-4878-9e6e-2f68b158b4d1,,,smartphone,,,2022-07-18
00390ebb-87bc-4e2b-806f-78f3170cbd37,M,38,,,,2022-11-14
00390ebb-87bc-4e2b-806f-78f3170cbd37,M,,,,,2022-11-14
0039e53d-1d49-4753-a5e9-a64566f6f897,,,pc,,,2022-11-14
0039e53d-1d49-4753-a5e9-a64566f6f897,,23,pc,,,2022-10-28
0039e53d-1d49-4753-a5e9-a64566f6f897,,39,pc,,,2022-11-14
003bf854-350d-4a69-a461-7c872647264c,,37,,android,C1,2022-07-18
003bf854-350d-4a69-a461-7c872647264c,,,,android,C1,2022-07-18
003ea497-decd-4273-8f5e-12b5e9134ee3,,23,pc,android,C1,2022-07-18
003ea497-decd-4273-8f5e-12b5e9134ee3,,58,pc,android,C1,2022-07-18
0048284d-9dae-4511-83e1-45498a627300,,,,,C1,2022-11-03
004c612a-fe6e-4638-9101-f4d2a508a5d9,,59,smartphone,,B,2022-11-14
004c612a-fe6e-4638-9101-f4d2a508a5d9,,41,smartphone,,B,2022-11-14
00524f68-2013-4428-a6a5-6afc46831a3c,,,smartphone,,,2022-11-14
00524f68-2013-4428-a6a5-6afc46831a3c,,20,smartphone,,,2022-11-14
00524f68-2013-4428-a6a5-6afc46831a3c,,18,smartphone,,,2022-10-28
00531dbc-2d04-4ae9-9731-c88246ec8dfb,M,32,tablet,,C1,2022-11-14
00531dbc-2d04-4ae9-9731-c88246ec8dfb,M,38,tablet,,C1,2022-11-14
00586401-9919-455b-a714-84a639eef128,,,,android,C1,2022-07-18
00586401-9919-455b-a714-84a639eef128,,53,,android,C1,2022-07-18
005e29c1-544f-41ca-9703-52d248400d91,,,pc,,,2022-08-30
00631f3b-6c61-4e92-9f5e-af12925c7188,,,smartphone,android,B,2022-04-04
0065f158-543b-4449-b05d-6f7a880834f7,,25,,ios,,2022-11-14
0065f158-543b-4449-b05d-6f7a880834f7,,,,ios,,2022-11-14
007526a1-ecaa-4bef-b3d2-449952a00d53,,,smartphone,android,,2022-07-18
007526a1-ecaa-4bef-b3d2-449952a00d53,,38,smartphone,android,,2022-07-18
00787747-e1e3-43f1-886c-43dbbebc6f6f,,,smartphone,android,C2,2022-07-18
00787747-e1e3-43f1-886c-43dbbebc6f6f,,,smartphone,android,C2,2022-07-18
007c8521-03f1-4054-bebb-d1c4014ab931,,,smartphone,android,,2022-04-04
007dbec8-9295-499d-ad4f-a256abc31d66,,51,pc,android,C1,2022-07-18
007dbec8-9295-499d-ad4f-a256abc31d66,,54,pc,android,C1,2022-07-18
0092ca6f-fa93-4bb9-a951-3037ec12a263,,,smartphone,android,E,2022-11-14
0092ca6f-fa93-4bb9-a951-3037ec12a263,,,smartphone,android,E,2022-11-14
00974912-99fa-41bd-add7-5fecbcbdd094,,,smartphone,,,2022-07-18
00974912-99fa-41bd-add7-5fecbcbdd094,,,smartphone,,,2022-07-18
009ae505-53f4-4cc3-88be-fac0e50f2622,,50,smartphone,,,2022-11-14
009ae505-53f4-4cc3-88be-fac0e50f2622,,,smartphone,,,2022-11-14
009fea85-5698-4573-a561-a08d389c3e6c,M,,,,,2022-11-14
009fea85-5698-4573-a561-a08d389c3e6c,M,,,,,2022-11-14
00a48138-ada9-49d0-9d92-d119d267c1df,,,smartphone,android,D,2022-07-18
00a48138-ada9-49d0-9d92-d119d267c1df,,,smartphone,android,D,2022-07-18
00a6680a-4cb9-4b02-8e52-4dd1517f318f,,,tablet,,D,2022-07-18
00a6680a-4cb9-4b02-8e52-4dd1517f318f,,,tablet,,D,2022-07-18
00a982c6-c8c8-42dc-8438-218c1694e66d,M,23,pc,android,,2022-07-18
00a982c6-c8c8-42dc-8438-218c1694e66d,M,,pc,android,,2022-07-18
00aa037e-0292-44c1-bf33-19251d68cdd7,M,25,,,C1,2022-07-18
00aa037e-0292-44c1-bf33-19251d68cdd7,M,58,,,C1,2022-07-18
00b0abe2-4b46-44f9-80bc-77f467c3dafa,,,,android,E,2022-11-03
00b0ea4b-490d-462b-9daf-1cc676db6a40,,20,smartphone,android,C1,2022-07-18
00b0ea4b-490d-462b-9daf-1cc676db6a40,,,smartphone,android,C1,2022-07-18
00b270fb-68fc-448b-a70e-db3c0a63a3f1,,26,,android,E,2022-07-18
00b270fb-68fc-448b-a70e-db3c0a63a3f1,,35,,android,E,2022-07-18
00cd3bfe-4c98-4a51-b5e4-faad2b8031c0,,,,android,,2022-07-18
00cd3bfe-4c98-4a51-b5e4-faad2b8031c0,,,,android,,2022-07-18
00ce9e3f-66bf-4b5f-ab60-ff4bfe7fd8dd,,,pc,android,C2,2022-07-18
00ce9e3f-66bf-4b5f-ab60-ff4bfe7fd8dd,,,pc,android,C2,2022-07-18
00d214c9-eb1b-4408-ae94-08798600f033,,59,,android,C1,2022-11-14
00d214c9-eb1b-4408-ae94-08798600f033,,,,android,C1,2022-11-14
00d214c9-eb1b-4408-ae94-08798600f033,,,,android,C1,2022-10-28
00d4be21-13ef-411a-8da0-486956f9fc5b,,,,android,C1,2022-07-18
00d4be21-13ef-411a-8da0-486956f9fc5b,,19,,android,C1,2022-07-18
00dab3b4-8f18-4df8-b0f4-040c830c25f0,F,,pc,,C1,2022-11-14
00dab3b4-8f18-4df8-b0f4-040c830c25f0,F,49,pc,,C1,2022-11-14
00df2523-7fa0-47f8-bf42-258e5ce485a7,,,,android,D,2022-07-18
00df2523-7fa0-47f8-bf42-258e5ce485a7,,,,android,D,2022-07-18
00e02def-c0e3-44b0-b223-6c588ca1a8ae,,19,,android,C1,2022-07-18
00e02def-c0e3-44b0-b223-6c588ca1a8ae,,,,android,C1,2022-07-18
00e30a96-ded3-490c-b656-c84b2a4d8b21,,,tablet,android,C2,2022-07-18
00e30a96-ded3-490c-b656-c84b2a4d8b21,,60,tablet,android,C2,2022-07-18
00e9349a-3dce-4efa-9b2a-60ac50884f35,,,smartphone,,E,2022-07-18
00e9349a-3dce-4efa-9b2a-60ac50884f35,,25,smartphone,,E,2022-07-18
00ef361d-2eeb-4663-9cdc-507f3871b2c9,,,smartphone,android,C1,2022-07-18
00ef361d-2eeb-4663-9cdc-507f3871b2c9,,50,smartphone,android,C1,2022-07-18
00f05ae2-a6f1-4aea-beb0-063d40b1d906,,,,android,C2,2022-07-18
00f05ae2-a6f1-4aea-beb0-063d40b1d906,,47,,android,C2,2022-07-18
